cath,development_split,evaluation,reference,weighting,denominator,mean_max_tanimoto,q05,q25,median,q75,q95,fraction_ge_0.3,fraction_ge_0.4,fraction_ge_0.5,fraction_ge_0.6,fraction_ge_0.7,fraction_ge_0.8,fraction_ge_0.9,fraction_ge_1.0
1.10.510.10,random,validation,train,rows,16433,0.9749162759658395,0.7758620689655172,1.0,1.0,1.0,1.0,0.9989046430962089,0.9958011318688006,0.9908720258017404,0.9839347654110631,0.9709121888882127,0.9415201119698169,0.9135885109231424,0.9080508732428649
1.10.565.10,both,cath_lso_test,development,unique_canonical_ligands,9850,0.40470520061877996,0.26229508196721313,0.32098765432098764,0.3710508812770203,0.4444444444444444,0.6666666666666666,0.8409137055837563,0.3803045685279188,0.15908629441624367,0.07898477157360406,0.03746192893401015,0.024771573604060914,0.021725888324873096,0.020913705583756347
1.10.565.10,both,cath_lso_test,development,rows,22467,0.4079890125891667,0.27380952380952384,0.3333333333333333,0.38235294117647056,0.4461538461538462,0.6222222222222222,0.8899719588730137,0.4148751502203231,0.15422619842435573,0.06200204744736725,0.026216228245871723,0.017314283170872836,0.015533894155873059,0.015133306627498108
1.10.565.10,composite_scaffold,validation,train,unique_canonical_ligands,14097,0.9120079187706098,0.5084190052792442,0.8961038961038961,1.0,1.0,1.0,0.9963112719018231,0.977512946016883,0.9540327729304108,0.9202667234163298,0.8648648648648649,0.7933602894232815,0.7491664893239697,0.7363268780591615
1.10.565.10,composite_scaffold,validation,train,rows,20827,0.937440759924703,0.5778819444444444,1.0,1.0,1.0,1.0,0.9975032409852596,0.9842512123685601,0.9679262495798723,0.9445911557113362,0.9048830844576752,0.852595188937437,0.8200412925529361,0.8104863878619101
1.10.565.10,random,validation,train,unique_canonical_ligands,15541,0.9696563479311314,0.75,1.0,1.0,1.0,1.0,0.999292194839457,0.9949810179525127,0.9882890418891963,0.9803101473521653,0.9630654398043884,0.9317933208931214,0.8951161443922527,0.8891963194131651
1.10.565.10,random,validation,train,rows,20827,0.9769804330812368,0.7928090832632464,1.0,1.0,1.0,1.0,0.9994718394391895,0.996206846881452,0.991213328851971,0.9852115042973064,0.9719594756806069,0.9483843088298843,0.9201997407211793,0.9156863686560714
1.20.920.10,both,cath_lso_test,development,unique_canonical_ligands,3458,0.4225041222668738,0.28865979381443296,0.3333333333333333,0.37735849056603776,0.4576271186440678,0.7377049180327869,0.9181607865818392,0.41295546558704455,0.18045112781954886,0.10208212839791787,0.06072874493927125,0.03701561596298438,0.0205320994794679,0.01850780798149219
1.20.920.10,both,cath_lso_test,development,rows,13728,0.4336339409355252,0.3,0.35106382978723405,0.3972602739726027,0.47,0.6956521739130435,0.9545454545454546,0.49686771561771564,0.1968240093240093,0.09324009324009325,0.049023892773892776,0.029356060606060608,0.01638986013986014,0.014787296037296038
1.20.920.10,composite_scaffold,validation,train,unique_canonical_ligands,14370,0.9138805019833054,0.5235049833887043,0.9153139174027214,1.0,1.0,1.0,0.9958942240779401,0.9796798886569241,0.9577592205984691,0.925330549756437,0.8688935281837161,0.7967988865692415,0.753375086986778,0.7357689631176061
