cath,development_split,evaluation,reference,identity,weighting,reference_rows,query_rows,reference_unique_keys,denominator,seen,unseen,fraction_seen,excluded_empty_key,excluded_generic_failure,query_acyclic_rows,query_acyclic_unique_canonical_ligands
3.30.565.10,composite_scaffold,cath_lso_test,development,canonical_isomeric,unique_canonical_ligands,431125,7882,114174,1596,25,1571,0.015664160401002505,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,development,canonical_isomeric,unique_keys,431125,7882,114174,1596,25,1571,0.015664160401002505,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,development,murcko_typed,rows,431125,7882,36412,7882,1976,5906,0.2506977924384674,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,development,murcko_typed,unique_raw_ligands,431125,7882,36412,1748,248,1500,0.14187643020594964,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,development,murcko_typed,unique_canonical_ligands,431125,7882,36412,1596,228,1368,0.14285714285714285,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,development,murcko_typed,unique_keys,431125,7882,36412,556,56,500,0.10071942446043165,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,development,murcko_generic,rows,431125,7882,18547,7882,4275,3607,0.5423750317178381,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,development,murcko_generic,unique_raw_ligands,431125,7882,18547,1748,668,1080,0.38215102974828374,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,development,murcko_generic,unique_canonical_ligands,431125,7882,18547,1596,621,975,0.3890977443609023,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,development,murcko_generic,unique_keys,431125,7882,18547,336,104,232,0.30952380952380953,0,0,0,0
3.30.565.10,random,validation,train,smiles,rows,406699,21557,116570,21557,18354,3203,0.851417173076031,0,0,120,113
3.30.565.10,random,validation,train,smiles,unique_raw_ligands,406699,21557,116570,16219,13079,3140,0.8063999013502682,0,0,120,113
3.30.565.10,random,validation,train,smiles,unique_keys,406699,21557,116570,16219,13079,3140,0.8063999013502682,0,0,120,113
3.30.565.10,random,validation,train,canonical_isomeric,rows,406699,21557,111324,21557,18643,2914,0.864823491209352,0,0,120,113
3.30.565.10,random,validation,train,canonical_isomeric,unique_raw_ligands,406699,21557,111324,16219,13360,2859,0.823725260496948,0,0,120,113
3.30.565.10,random,validation,train,canonical_isomeric,unique_canonical_ligands,406699,21557,111324,16144,13294,2850,0.8234638255698712,0,0,120,113
3.30.565.10,random,validation,train,canonical_isomeric,unique_keys,406699,21557,111324,16144,13294,2850,0.8234638255698712,0,0,120,113
3.30.565.10,random,validation,train,murcko_typed,rows,406699,21557,35741,21437,20749,688,0.9679059569902505,120,0,120,113
3.30.565.10,random,validation,train,murcko_typed,unique_raw_ligands,406699,21557,35741,16105,15427,678,0.957901272896616,114,0,120,113
3.30.565.10,random,validation,train,murcko_typed,unique_canonical_ligands,406699,21557,35741,16031,15355,676,0.9578317010791592,113,0,120,113
3.30.565.10,random,validation,train,murcko_typed,unique_keys,406699,21557,35741,8061,7390,671,0.9167597072323533,1,0,120,113
