cath,model,development,evaluation,threshold,n,value,extended_panel,configuration,cohort,operation,method,panel,figure_role
2.40.10.10,transformerdta,composite,cath_lso_test,High,18140,0.693473164911,E,original,full,Original published evaluation,,B,SI
2.40.70.10,transformerdta,composite,cath_lso_test,High,36510,0.649977682388,E,original,full,Original published evaluation,,B,SI
2.60.40.10,transformerdta,composite,cath_lso_test,High,14709,0.605526622938,E,original,full,Original published evaluation,,B,SI
3.10.200.10,transformerdta,composite,cath_lso_test,High,95479,0.523524347371,E,original,full,Original published evaluation,,B,SI
3.30.565.10,transformerdta,composite,cath_lso_test,High,7882,0.578528753423,E,original,full,Original published evaluation,,B,SI
3.40.190.10,transformerdta,composite,cath_lso_test,High,2657,0.575495302141,E,original,full,Original published evaluation,,B,SI
1.10.510.10,ligand_lookup,composite,validation,Weak+,16433,0.911542927009,F,original,full,Original published evaluation,,C,SI
1.10.565.10,ligand_lookup,composite,validation,Weak+,20827,0.927542529597,F,original,full,Original published evaluation,,C,SI
1.10.1300.10,ligand_lookup,composite,validation,Weak+,21895,0.923349563132,F,original,full,Original published evaluation,,C,SI
1.20.920.10,ligand_lookup,composite,validation,Weak+,21185,0.923409512338,F,original,full,Original published evaluation,,C,SI
2.40.10.10,ligand_lookup,composite,validation,Weak+,20971,0.926431419976,F,original,full,Original published evaluation,,C,SI
2.40.70.10,ligand_lookup,composite,validation,Weak+,20070,0.922912339862,F,original,full,Original published evaluation,,C,SI
2.60.40.10,ligand_lookup,composite,validation,Weak+,21211,0.922391968526,F,original,full,Original published evaluation,,C,SI
3.10.200.10,ligand_lookup,composite,validation,Weak+,16332,0.914934384266,F,original,full,Original published evaluation,,C,SI
3.30.565.10,ligand_lookup,composite,validation,Weak+,21557,0.915682157296,F,original,full,Original published evaluation,,C,SI
3.40.190.10,ligand_lookup,composite,validation,Weak+,21811,0.921812509567,F,original,full,Original published evaluation,,C,SI
1.10.510.10,ligand_lookup,composite,cath_lso_test,Weak+,109519,0.499843638073,F,original,full,Original published evaluation,,C,SI
1.10.565.10,ligand_lookup,composite,cath_lso_test,Weak+,22467,0.5066887186,F,original,full,Original published evaluation,,C,SI
1.10.1300.10,ligand_lookup,composite,cath_lso_test,Weak+,1108,0.513392857143,F,original,full,Original published evaluation,,C,SI
1.20.920.10,ligand_lookup,composite,cath_lso_test,Weak+,13728,0.491592418942,F,original,full,Original published evaluation,,C,SI
2.40.10.10,ligand_lookup,composite,cath_lso_test,Weak+,18140,0.512349441613,F,original,full,Original published evaluation,,C,SI
2.40.70.10,ligand_lookup,composite,cath_lso_test,Weak+,36510,0.502948221829,F,original,full,Original published evaluation,,C,SI
2.60.40.10,ligand_lookup,composite,cath_lso_test,Weak+,14709,0.46741214741,F,original,full,Original published evaluation,,C,SI
3.10.200.10,ligand_lookup,composite,cath_lso_test,Weak+,95479,0.500725387098,F,original,full,Original published evaluation,,C,SI
3.30.565.10,ligand_lookup,composite,cath_lso_test,Weak+,7882,0.51779582039,F,original,full,Original published evaluation,,C,SI
3.40.190.10,ligand_lookup,composite,cath_lso_test,Weak+,2657,0.508982903695,F,original,full,Original published evaluation,,C,SI
1.10.510.10,ligand_lookup,composite,validation,High,16433,0.938282464717,F,original,full,Original published evaluation,,C,SI
1.10.565.10,ligand_lookup,composite,validation,High,20827,0.942273691687,F,original,full,Original published evaluation,,C,SI
1.10.1300.10,ligand_lookup,composite,validation,High,21895,0.944727687596,F,original,full,Original published evaluation,,C,SI
1.20.920.10,ligand_lookup,composite,validation,High,21185,0.940583369006,F,original,full,Original published evaluation,,C,SI
2.40.10.10,ligand_lookup,composite,validation,High,20971,0.944251806292,F,original,full,Original published evaluation,,C,SI
2.40.70.10,ligand_lookup,composite,validation,High,20070,0.937082384625,F,original,full,Original published evaluation,,C,SI
2.60.40.10,ligand_lookup,composite,validation,High,21211,0.94246781151,F,original,full,Original published evaluation,,C,SI
3.10.200.10,ligand_lookup,composite,validation,High,16332,0.933921660289,F,original,full,Original published evaluation,,C,SI
3.30.565.10,ligand_lookup,composite,validation,High,21557,0.938840284985,F,original,full,Original published evaluation,,C,SI
3.40.190.10,ligand_lookup,composite,validation,High,21811,0.94258332363,F,original,full,Original published evaluation,,C,SI
1.10.510.10,ligand_lookup,composite,cath_lso_test,High,109519,0.516493181574,F,original,full,Original published evaluation,,C,SI
1.10.565.10,ligand_lookup,composite,cath_lso_test,High,22467,0.503529146433,F,original,full,Original published evaluation,,C,SI
1.10.1300.10,ligand_lookup,composite,cath_lso_test,High,1108,0.502835538752,F,original,full,Original published evaluation,,C,SI
1.20.920.10,ligand_lookup,composite,cath_lso_test,High,13728,0.502328498706,F,original,full,Original published evaluation,,C,SI
2.40.10.10,ligand_lookup,composite,cath_lso_test,High,18140,0.514664314794,F,original,full,Original published evaluation,,C,SI
2.40.70.10,ligand_lookup,composite,cath_lso_test,High,36510,0.501459487308,F,original,full,Original published evaluation,,C,SI
2.60.40.10,ligand_lookup,composite,cath_lso_test,High,14709,0.56281133992,F,original,full,Original published evaluation,,C,SI
3.10.200.10,ligand_lookup,composite,cath_lso_test,High,95479,0.502717077416,F,original,full,Original published evaluation,,C,SI
3.30.565.10,ligand_lookup,composite,cath_lso_test,High,7882,0.502670203842,F,original,full,Original published evaluation,,C,SI
3.40.190.10,ligand_lookup,composite,cath_lso_test,High,2657,0.526078122764,F,original,full,Original published evaluation,,C,SI
1.10.510.10,heavy_atom_count,composite,validation,Weak+,16433,0.686084372734,J,original,full,Training-only one-variable logistic regression,,D,SI
1.10.565.10,heavy_atom_count,composite,validation,Weak+,20827,0.685807977428,J,original,full,Training-only one-variable logistic regression,,D,SI
1.10.1300.10,heavy_atom_count,composite,validation,Weak+,21895,0.684698605088,J,original,full,Training-only one-variable logistic regression,,D,SI
1.20.920.10,heavy_atom_count,composite,validation,Weak+,21185,0.692704360734,J,original,full,Training-only one-variable logistic regression,,D,SI
2.40.10.10,heavy_atom_count,composite,validation,Weak+,20971,0.702005207419,J,original,full,Training-only one-variable logistic regression,,D,SI
2.40.70.10,heavy_atom_count,composite,validation,Weak+,20070,0.679859897936,J,original,full,Training-only one-variable logistic regression,,D,SI
2.60.40.10,heavy_atom_count,composite,validation,Weak+,21211,0.699427009309,J,original,full,Training-only one-variable logistic regression,,D,SI
3.10.200.10,heavy_atom_count,composite,validation,Weak+,16332,0.706186686908,J,original,full,Training-only one-variable logistic regression,,D,SI
3.30.565.10,heavy_atom_count,composite,validation,Weak+,21557,0.694226229589,J,original,full,Training-only one-variable logistic regression,,D,SI
3.40.190.10,heavy_atom_count,composite,validation,Weak+,21811,0.681137247914,J,original,full,Training-only one-variable logistic regression,,D,SI
1.10.510.10,heavy_atom_count,composite,cath_lso_test,Weak+,109519,0.729772260883,J,original,full,Training-only one-variable logistic regression,,D,SI
1.10.565.10,heavy_atom_count,composite,cath_lso_test,Weak+,22467,0.656961404723,J,original,full,Training-only one-variable logistic regression,,D,SI
1.10.1300.10,heavy_atom_count,composite,cath_lso_test,Weak+,1108,0.852476871773,J,original,full,Training-only one-variable logistic regression,,D,SI
1.20.920.10,heavy_atom_count,composite,cath_lso_test,Weak+,13728,0.729485237578,J,original,full,Training-only one-variable logistic regression,,D,SI
2.40.10.10,heavy_atom_count,composite,cath_lso_test,Weak+,18140,0.728999193657,J,original,full,Training-only one-variable logistic regression,,D,SI
2.40.70.10,heavy_atom_count,composite,cath_lso_test,Weak+,36510,0.770886923067,J,original,full,Training-only one-variable logistic regression,,D,SI
2.60.40.10,heavy_atom_count,composite,cath_lso_test,Weak+,14709,0.669385140678,J,original,full,Training-only one-variable logistic regression,,D,SI
3.10.200.10,heavy_atom_count,composite,cath_lso_test,Weak+,95479,0.686011433438,J,original,full,Training-only one-variable logistic regression,,D,SI
