cath,model,development,evaluation,threshold,n,value,extended_panel,configuration,cohort,operation,method,panel,figure_role
2.40.10.10,ligand_lookup,random,cath_lso_test,High,18140,0.516635906773,C,original,full,Original published evaluation,,C,main
2.40.70.10,ligand_lookup,random,cath_lso_test,High,36510,0.501459487308,C,original,full,Original published evaluation,,C,main
2.60.40.10,ligand_lookup,random,cath_lso_test,High,14709,0.561977349184,C,original,full,Original published evaluation,,C,main
3.10.200.10,ligand_lookup,random,cath_lso_test,High,95479,0.503129371424,C,original,full,Original published evaluation,,C,main
3.30.565.10,ligand_lookup,random,cath_lso_test,High,7882,0.502670203842,C,original,full,Original published evaluation,,C,main
3.40.190.10,ligand_lookup,random,cath_lso_test,High,2657,0.525620737349,C,original,full,Original published evaluation,,C,main
1.10.510.10,heavy_atom_count,random,validation,Weak+,16433,0.651554227009,G,original,full,Training-only one-variable logistic regression,,D,main
1.10.565.10,heavy_atom_count,random,validation,Weak+,20827,0.673622936313,G,original,full,Training-only one-variable logistic regression,,D,main
1.10.1300.10,heavy_atom_count,random,validation,Weak+,21895,0.661033741526,G,original,full,Training-only one-variable logistic regression,,D,main
1.20.920.10,heavy_atom_count,random,validation,Weak+,21185,0.679682969603,G,original,full,Training-only one-variable logistic regression,,D,main
2.40.10.10,heavy_atom_count,random,validation,Weak+,20971,0.688094923919,G,original,full,Training-only one-variable logistic regression,,D,main
2.40.70.10,heavy_atom_count,random,validation,Weak+,20070,0.667367075892,G,original,full,Training-only one-variable logistic regression,,D,main
2.60.40.10,heavy_atom_count,random,validation,Weak+,21211,0.682165788124,G,original,full,Training-only one-variable logistic regression,,D,main
3.10.200.10,heavy_atom_count,random,validation,Weak+,16332,0.733255118887,G,original,full,Training-only one-variable logistic regression,,D,main
3.30.565.10,heavy_atom_count,random,validation,Weak+,21557,0.665765780862,G,original,full,Training-only one-variable logistic regression,,D,main
3.40.190.10,heavy_atom_count,random,validation,Weak+,21811,0.676428311396,G,original,full,Training-only one-variable logistic regression,,D,main
1.10.510.10,heavy_atom_count,random,cath_lso_test,Weak+,109519,0.729772260883,G,original,full,Training-only one-variable logistic regression,,D,main
1.10.565.10,heavy_atom_count,random,cath_lso_test,Weak+,22467,0.656961404723,G,original,full,Training-only one-variable logistic regression,,D,main
1.10.1300.10,heavy_atom_count,random,cath_lso_test,Weak+,1108,0.852476871773,G,original,full,Training-only one-variable logistic regression,,D,main
1.20.920.10,heavy_atom_count,random,cath_lso_test,Weak+,13728,0.729485237578,G,original,full,Training-only one-variable logistic regression,,D,main
2.40.10.10,heavy_atom_count,random,cath_lso_test,Weak+,18140,0.728999193657,G,original,full,Training-only one-variable logistic regression,,D,main
2.40.70.10,heavy_atom_count,random,cath_lso_test,Weak+,36510,0.770886923067,G,original,full,Training-only one-variable logistic regression,,D,main
2.60.40.10,heavy_atom_count,random,cath_lso_test,Weak+,14709,0.669385140678,G,original,full,Training-only one-variable logistic regression,,D,main
3.10.200.10,heavy_atom_count,random,cath_lso_test,Weak+,95479,0.686011433438,G,original,full,Training-only one-variable logistic regression,,D,main
3.30.565.10,heavy_atom_count,random,cath_lso_test,Weak+,7882,0.746728678339,G,original,full,Training-only one-variable logistic regression,,D,main
3.40.190.10,heavy_atom_count,random,cath_lso_test,Weak+,2657,0.517485891714,G,original,full,Training-only one-variable logistic regression,,D,main
1.10.510.10,heavy_atom_count,random,validation,High,16433,0.536608134122,G,original,full,Training-only one-variable logistic regression,,D,main
1.10.565.10,heavy_atom_count,random,validation,High,20827,0.575210233826,G,original,full,Training-only one-variable logistic regression,,D,main
1.10.1300.10,heavy_atom_count,random,validation,High,21895,0.574367642127,G,original,full,Training-only one-variable logistic regression,,D,main
1.20.920.10,heavy_atom_count,random,validation,High,21185,0.567486920176,G,original,full,Training-only one-variable logistic regression,,D,main
2.40.10.10,heavy_atom_count,random,validation,High,20971,0.569399689624,G,original,full,Training-only one-variable logistic regression,,D,main
2.40.70.10,heavy_atom_count,random,validation,High,20070,0.573146672612,G,original,full,Training-only one-variable logistic regression,,D,main
2.60.40.10,heavy_atom_count,random,validation,High,21211,0.574172520757,G,original,full,Training-only one-variable logistic regression,,D,main
3.10.200.10,heavy_atom_count,random,validation,High,16332,0.645200336806,G,original,full,Training-only one-variable logistic regression,,D,main
3.30.565.10,heavy_atom_count,random,validation,High,21557,0.563697043516,G,original,full,Training-only one-variable logistic regression,,D,main
3.40.190.10,heavy_atom_count,random,validation,High,21811,0.568451391802,G,original,full,Training-only one-variable logistic regression,,D,main
1.10.510.10,heavy_atom_count,random,cath_lso_test,High,109519,0.640942173876,G,original,full,Training-only one-variable logistic regression,,D,main
1.10.565.10,heavy_atom_count,random,cath_lso_test,High,22467,0.577603974073,G,original,full,Training-only one-variable logistic regression,,D,main
1.10.1300.10,heavy_atom_count,random,cath_lso_test,High,1108,0.710430603576,G,original,full,Training-only one-variable logistic regression,,D,main
1.20.920.10,heavy_atom_count,random,cath_lso_test,High,13728,0.723462014379,G,original,full,Training-only one-variable logistic regression,,D,main
2.40.10.10,heavy_atom_count,random,cath_lso_test,High,18140,0.679322848129,G,original,full,Training-only one-variable logistic regression,,D,main
2.40.70.10,heavy_atom_count,random,cath_lso_test,High,36510,0.586614987489,G,original,full,Training-only one-variable logistic regression,,D,main
2.60.40.10,heavy_atom_count,random,cath_lso_test,High,14709,0.596281186149,G,original,full,Training-only one-variable logistic regression,,D,main
3.10.200.10,heavy_atom_count,random,cath_lso_test,High,95479,0.577055675778,G,original,full,Training-only one-variable logistic regression,,D,main
3.30.565.10,heavy_atom_count,random,cath_lso_test,High,7882,0.627911167763,G,original,full,Training-only one-variable logistic regression,,D,main
