cath,model,development,evaluation,threshold,n,positives,positive_fraction,auc,auc_from_logits,average_precision,brier,ece,bce,ordinal_violation_fraction,world_size,optimizer_batch
1.10.565.10,transformerdta,composite,validation,High,20827,10315,0.4952705622509243,0.9723252506103404,0.9723252506103405,0.9725078450377352,0.0663489505119437,0.035690670160115456,0.2486661691801403,0.00033610217506121863,4,4096
1.10.565.10,transformerdta,composite,cath_lso_test,Weak+,22467,21752,0.968175546356879,0.6801676302733677,0.6801676302733677,0.9836564276625751,0.05192018336986038,0.05334741895923159,0.2479215352804895,0.0,4,4096
1.10.565.10,transformerdta,composite,cath_lso_test,High,22467,13967,0.6216673343125473,0.5632192942187255,0.5632192942187256,0.666639569439154,0.3701333566818079,0.33418427278722795,1.5409652096087834,0.0,4,4096
1.10.565.10,transformerdta,random,validation,Weak+,20827,19184,0.9211120180534883,0.9911307391481133,0.9911277409862245,0.9991570366435025,0.014648476904426574,0.005976869220865812,0.05675767980442516,0.007298218658472176,8,8192
1.10.565.10,transformerdta,random,validation,High,20827,11559,0.5550007202189465,0.9911450852269322,0.9911449265394635,0.9929631580819848,0.034920900041234555,0.013266446588330184,0.12641230811214327,0.007298218658472176,8,8192
1.10.565.10,transformerdta,random,cath_lso_test,Weak+,22467,21752,0.968175546356879,0.7112101901408632,0.7112110903072654,0.9860312987131612,0.06001427495578923,0.06449540993204625,0.2639847474235252,8.901945074998887e-05,8,8192
1.10.565.10,transformerdta,random,cath_lso_test,High,22467,13967,0.6216673343125473,0.5757731627912853,0.5757731627912853,0.6840815623964239,0.3549266673842962,0.3154870790039366,1.485950734934794,8.901945074998887e-05,8,8192
1.20.920.10,deepdta,composite,validation,Weak+,21185,19025,0.8980410667925419,0.9574826617024385,0.9574826617024383,0.9946107161142669,0.04424322836684946,0.024688321136876138,0.15875760636468592,0.0,8,65536
1.20.920.10,deepdta,composite,validation,High,21185,10763,0.5080481472740146,0.9382181839947096,0.9382181839947097,0.9412226261019185,0.1000950101849204,0.03968671819854274,0.3435027277194794,0.0,8,65536
1.20.920.10,deepdta,composite,cath_lso_test,Weak+,13728,12054,0.8780594405594405,0.6484719598128612,0.6484719598128612,0.9219488559311602,0.15331018427826323,0.14641731548778275,0.5504727544555971,0.0,8,65536
1.20.920.10,deepdta,composite,cath_lso_test,High,13728,2932,0.21357808857808858,0.6419431246831351,0.6419431246831351,0.32128835384104776,0.22322862653462142,0.1856365851556802,0.7373452121887474,0.0,8,65536
1.20.920.10,deepdta,random,validation,Weak+,21185,19632,0.9266934151522304,0.9824568748815946,0.9824568748815947,0.9984351426517323,0.01992646296887482,0.012009157900956951,0.0833958232661616,0.0,8,65536
1.20.920.10,deepdta,random,validation,High,21185,11966,0.5648336086853906,0.9799558678358977,0.9799558678358976,0.9844278003042367,0.052896366898688756,0.020130614960957673,0.19105554411105904,0.0,8,65536
1.20.920.10,deepdta,random,cath_lso_test,Weak+,13728,12054,0.8780594405594405,0.6323968466076293,0.6323973669661355,0.9150975949104674,0.18314205444431003,0.1833643046680671,0.7345039132885363,0.0,8,65536
1.20.920.10,deepdta,random,cath_lso_test,High,13728,2932,0.21357808857808858,0.6441461727020314,0.6441461727020314,0.3468596720892244,0.2124408762411133,0.1881055639150628,0.9160988690638511,0.0,8,65536
1.20.920.10,transformerdta,composite,validation,Weak+,21185,19025,0.8980410667925419,0.9703831581252738,0.9703831581252738,0.9963165269768011,0.0354154095526937,0.014591884501799263,0.12854488568952463,0.0008496577767288175,4,4096
1.20.920.10,transformerdta,composite,validation,High,21185,10763,0.5080481472740146,0.9676615781769256,0.967661234953975,0.9696507689377536,0.07064344947696853,0.023999093494373482,0.24603587375381727,0.0008496577767288175,4,4096
1.20.920.10,transformerdta,composite,cath_lso_test,Weak+,13728,12054,0.8780594405594405,0.6565375909958353,0.6565376157748118,0.9198796144823812,0.11549319550117144,0.09036660743716718,0.494376758605835,0.0,4,4096
1.20.920.10,transformerdta,composite,cath_lso_test,High,13728,2932,0.21357808857808858,0.6981241820905827,0.6981241820905827,0.39117270701838935,0.21674323241839732,0.1861710294674675,0.7971000055250412,0.0,4,4096
1.20.920.10,transformerdta,random,validation,Weak+,21185,19632,0.9266934151522304,0.9924033150077327,0.9923944756081113,0.9993367757347564,0.01391595436391966,0.00873765076914659,0.05569699959436014,0.007033278262921878,8,8192
1.20.920.10,transformerdta,random,validation,High,21185,11966,0.5648336086853906,0.9914410568164923,0.9914410568164922,0.9934451371942064,0.03511043512239299,0.014475550846090712,0.12610995054866317,0.007033278262921878,8,8192
1.20.920.10,transformerdta,random,cath_lso_test,Weak+,13728,12054,0.8780594405594405,0.6245450084337725,0.6245450084337725,0.9184012338217415,0.17494165904939152,0.171477058158521,0.7119526619460937,0.00021853146853146853,8,8192
1.20.920.10,transformerdta,random,cath_lso_test,High,13728,2932,0.21357808857808858,0.6778401233188787,0.6778401233188787,0.37422041312583054,0.2235129493479809,0.19777879229031847,0.8749843852352548,0.00021853146853146853,8,8192
2.40.10.10,deepdta,composite,validation,Weak+,20971,18806,0.8967621954127128,0.9513732411576179,0.9513732411576179,0.9936223825809194,0.046557785386617936,0.025902498110025256,0.16826805316084442,0.0,8,65536
2.40.10.10,deepdta,composite,validation,High,20971,10409,0.4963521052882552,0.9332229217541831,0.9332229217541831,0.9320763086384777,0.1035862426328044,0.02968579757626762,0.3442288923092592,0.0,8,65536
